주차장명,주차대수,year
여의도2주차장,670,2025
여의도5주차장,306,2025
여의도1주차장,1433,2025
여의도4주차장,138,2025
여의도3주차장,1537,2025
여의도1주차장,1269,2025
여의도4주차장,147,2025
여의도5주차장,361,2025
여의도2주차장,613,2025
여의도3주차장,871,2025
여의도5주차장,336,2025
여의도1주차장,1194,2025
여의도4주차장,131,2025
여의도2주차장,594,2025
여의도3주차장,897,2025
여의도1주차장,1366,2025
여의도3주차장,1611,2025
여의도4주차장,30,2025
여의도5주차장,141,2025
여의도2주차장,730,2025
여의도4주차장,38,2025
여의도3주차장,282,2025
여의도5주차장,113,2025
여의도2주차장,669,2025
여의도1주차장,1344,2025
여의도5주차장,282,2025
여의도2주차장,518,2025
여의도3주차장,652,2025
여의도1주차장,1172,2025
여의도4주차장,96,2025
여의도4주차장,22,2025
여의도3주차장,1532,2025
여의도1주차장,1628,2025
여의도5주차장,139,2025
여의도2주차장,897,2025
여의도3주차장,977,2025
여의도1주차장,1534,2025
여의도2주차장,601,2025
여의도5주차장,339,2025
여의도4주차장,152,2025
여의도5주차장,298,2025
여의도4주차장,135,2025
여의도3주차장,888,2025
여의도1주차장,1106,2025
여의도2주차장,439,2025
여의도3주차장,1007,2025
여의도5주차장,344,2025
여의도2주차장,528,2025
여의도4주차장,150,2025
여의도1주차장,1327,2025
여의도3주차장,1580,2025
여의도2주차장,777,2025
여의도1주차장,1422,2025
여의도5주차장,174,2025
여의도4주차장,28,2025
여의도2주차장,750,2025
여의도3주차장,328,2025
여의도4주차장,38,2025
여의도5주차장,124,2025
여의도1주차장,1618,2025
여의도5주차장,324,2025
여의도3주차장,1038,2025
여의도2주차장,624,2025
여의도1주차장,1483,2025
여의도4주차장,131,2025
여의도5주차장,321,2025
여의도2주차장,573,2025
여의도1주차장,1360,2025
여의도4주차장,131,2025
여의도3주차장,905,2025
여의도2주차장,533,2025
여의도1주차장,1279,2025
여의도4주차장,149,2025
여의도3주차장,1033,2025
여의도5주차장,365,2025
여의도2주차장,467,2025
여의도1주차장,1106,2025
여의도5주차장,310,2025
여의도3주차장,896,2025
여의도4주차장,137,2025
여의도1주차장,1197,2025
여의도2주차장,543,2025
