주차장명,주차대수,year
여의도2주차장,580,2023
여의도3주차장,1061,2023
여의도5주차장,374,2023
여의도4주차장,248,2023
여의도1주차장,1109,2023
여의도1주차장,1584,2023
여의도4주차장,42,2023
여의도3주차장,1307,2023
여의도5주차장,196,2023
여의도2주차장,747,2023
여의도3주차장,569,2023
여의도2주차장,944,2023
여의도5주차장,193,2023
여의도1주차장,2146,2023
여의도4주차장,37,2023
여의도5주차장,364,2023
여의도3주차장,1094,2023
여의도1주차장,1555,2023
여의도2주차장,738,2023
여의도4주차장,250,2023
여의도3주차장,1081,2023
여의도4주차장,241,2023
여의도5주차장,335,2023
여의도2주차장,674,2023
여의도1주차장,1427,2023
여의도4주차장,259,2023
여의도3주차장,1173,2023
여의도2주차장,683,2023
여의도1주차장,1454,2023
여의도5주차장,332,2023
여의도3주차장,1119,2023
여의도1주차장,1348,2023
여의도5주차장,398,2023
여의도4주차장,236,2023
여의도2주차장,605,2023
여의도2주차장,485,2023
여의도4주차장,222,2023
여의도5주차장,325,2023
여의도3주차장,1060,2023
여의도1주차장,1003,2023
여의도4주차장,51,2023
여의도3주차장,1511,2023
여의도1주차장,2015,2023
여의도2주차장,986,2023
여의도5주차장,149,2023
여의도5주차장,202,2023
여의도2주차장,1912,2023
여의도4주차장,130,2023
여의도3주차장,1176,2023
여의도1주차장,4032,2023
여의도1주차장,1977,2023
여의도4주차장,245,2023
여의도3주차장,1157,2023
여의도5주차장,359,2023
여의도2주차장,879,2023
여의도5주차장,340,2023
여의도2주차장,1091,2023
여의도3주차장,1242,2023
여의도4주차장,254,2023
여의도1주차장,1981,2023
여의도2주차장,781,2023
여의도1주차장,1795,2023
여의도4주차장,231,2023
여의도5주차장,341,2023
여의도3주차장,1215,2023
여의도2주차장,825,2023
여의도1주차장,1931,2023
여의도4주차장,242,2023
여의도5주차장,347,2023
여의도3주차장,1148,2023
여의도3주차장,1176,2023
여의도1주차장,1780,2023
여의도5주차장,394,2023
여의도4주차장,252,2023
여의도2주차장,809,2023
여의도4주차장,48,2023
여의도2주차장,1606,2023
여의도1주차장,3392,2023
여의도5주차장,224,2023
여의도3주차장,2552,2023
여의도2주차장,1638,2023
여의도3주차장,1509,2023
여의도5주차장,205,2023
여의도4주차장,90,2023
여의도1주차장,3888,2023
여의도4주차장,239,2023
여의도3주차장,1415,2023
여의도1주차장,2590,2023
여의도2주차장,1080,2023
여의도5주차장,342,2023
여의도3주차장,1248,2023
여의도1주차장,1868,2023
여의도4주차장,226,2023
여의도2주차장,751,2023
여의도5주차장,376,2023
여의도5주차장,370,2023
여의도2주차장,842,2023
여의도3주차장,1277,2023
여의도1주차장,2096,2023
여의도4주차장,247,2023
여의도5주차장,371,2023
여의도1주차장,1868,2023
여의도3주차장,1165,2023
여의도2주차장,826,2023
여의도4주차장,230,2023
여의도3주차장,1184,2023
여의도1주차장,1816,2023
여의도4주차장,249,2023
여의도5주차장,423,2023
여의도2주차장,727,2023
여의도1주차장,3630,2023
여의도3주차장,2893,2023
여의도4주차장,73,2023
여의도5주차장,267,2023
여의도2주차장,1432,2023
여의도4주차장,72,2023
여의도3주차장,2303,2023
여의도5주차장,282,2023
여의도2주차장,1650,2023
여의도1주차장,3797,2023
여의도5주차장,425,2023
여의도2주차장,880,2023
여의도4주차장,227,2023
여의도1주차장,2166,2023
여의도3주차장,1348,2023
여의도1주차장,1674,2023
여의도5주차장,403,2023
여의도2주차장,789,2023
여의도4주차장,238,2023
여의도3주차장,1083,2023
여의도2주차장,860,2023
여의도5주차장,434,2023
여의도1주차장,1888,2023
여의도3주차장,1333,2023
여의도4주차장,257,2023
여의도5주차장,458,2023
여의도2주차장,789,2023
여의도3주차장,1230,2023
여의도1주차장,1962,2023
여의도4주차장,228,2023
여의도5주차장,512,2023
여의도4주차장,252,2023
여의도3주차장,1321,2023
여의도2주차장,882,2023
여의도1주차장,2043,2023
여의도1주차장,3722,2023
여의도4주차장,128,2023
여의도5주차장,337,2023
여의도2주차장,1824,2023
여의도3주차장,3647,2023
여의도4주차장,67,2023
여의도2주차장,1437,2023
여의도1주차장,3346,2023
여의도3주차장,1402,2023
여의도5주차장,250,2023
여의도1주차장,2701,2023
여의도2주차장,1204,2023
여의도3주차장,1389,2023
여의도5주차장,388,2023
여의도4주차장,236,2023
여의도2주차장,963,2023
여의도4주차장,234,2023
여의도5주차장,371,2023
여의도1주차장,2119,2023
여의도3주차장,1246,2023
여의도1주차장,2064,2023
여의도3주차장,1267,2023
여의도2주차장,1083,2023
여의도5주차장,392,2023
여의도4주차장,233,2023
여의도2주차장,990,2023
여의도4주차장,255,2023
여의도1주차장,2069,2023
여의도5주차장,417,2023
여의도3주차장,1250,2023
여의도5주차장,188,2023
여의도1주차장,3472,2023
여의도2주차장,1489,2023
여의도3주차장,1538,2023
여의도4주차장,66,2023
여의도4주차장,55,2023
여의도5주차장,305,2023
여의도3주차장,2585,2023
여의도2주차장,1685,2023
여의도1주차장,4202,2023
여의도1주차장,956,2023
여의도3주차장,1298,2023
여의도4주차장,342,2023
여의도5주차장,387,2023
여의도2주차장,978,2023
여의도2주차장,1137,2023
여의도4주차장,234,2023
여의도1주차장,1882,2023
여의도5주차장,434,2023
여의도3주차장,1768,2023
여의도3주차장,1230,2023
여의도4주차장,273,2023
여의도1주차장,2583,2023
여의도2주차장,934,2023
여의도5주차장,561,2023
여의도1주차장,1910,2023
여의도4주차장,253,2023
여의도2주차장,728,2023
여의도5주차장,406,2023
여의도3주차장,1170,2023
여의도4주차장,69,2023
여의도3주차장,1969,2023
여의도5주차장,266,2023
여의도2주차장,1753,2023
여의도1주차장,3875,2023
여의도2주차장,1906,2023
여의도4주차장,87,2023
여의도1주차장,3762,2023
여의도5주차장,601,2023
여의도3주차장,2822,2023
여의도5주차장,331,2023
여의도4주차장,80,2023
여의도3주차장,3689,2023
여의도2주차장,1820,2023
여의도1주차장,3960,2023
여의도5주차장,179,2023
여의도4주차장,49,2023
여의도1주차장,4802,2023
여의도2주차장,2121,2023
여의도3주차장,1501,2023
여의도5주차장,267,2023
여의도2주차장,2211,2023
여의도1주차장,4776,2023
